School,YrLevel,Domain,EDID,First Name,Last Name,Date of Birth,Year Level,Sex,Indigenous Status,LBOTE Status,Parent 1 School Education,Parent 1 Non-School Education,Parent 1 Occupation,Parent 2 School Education,Parent 2 Non-School Education,Parent 2 Occupation,Student LOTE,Parent 1 LOTE,Parent 2 LOTE,Country of Birth,Local School Student ID,Diocesan Student ID,TAA Student ID,Platform Student ID,Previous Local School Student ID,Previous Diocesan Student ID,Previous TAA Student ID,Previous Platform Student ID,ClassGroup,Education Support,Full Fee Paying Student,Visa Code,Home Schooled Student,Sensitive,Address Line 1,Address Line 2,Locality,Postcode,State,School Code,School Name,R_Score,W_Score,S_Score,G_Score,N_Score,R_Comment,W_Comment,S_Comment,G_Comment,N_Comment,R_Mean,W_Mean,S_Mean,G_Mean,N_Mean,R_Participation,W_Participation,S_Participation,G_Participation,N_Participation,R_Pathway,W_Pathway,S_Pathway,G_Pathway,N_Pathway,R_Stddev,W_Stddev,S_Stddev,G_Stddev,N_Stddev,R_DomainBand,W_DomainBand,S_DomainBand,G_DomainBand,N_DomainBand
21215,9,AllDomains,885381996,Jeanette,Costello,2009-05-19,9,2,4,1201,3,8,4,1,7,3,1201,1201,1201,1101,885381996,,885381996,R100000088P,,,,,9F,N,1,,N,N,,,,,,21215,Isovalerate Combined College,598.75,655.00,631.00,607.00,610.47,,,,,,649,681,618,745,596,P,P,P,P,P,A:D:F,,SA:SB:PD,GF,CA:D:C:E,18.88,22.68,19.46,20.09,21.59,8,10,9,8,8
21221,5,AllDomains,271624309,Teodoro,Upham,2009-06-13,5,1,4,1201,2,6,3,3,6,4,1201,1201,1201,1101,271624309,,271624309,R100000231M,,,,,5F,N,1,,N,N,,,,,,21221,Wishram Combined College,,575.00,503.00,0.00,531.67,,,,,,543,500,548,579,524,W,P,P,P,P,,,SA:SD:PB,G,CA:B:E,,20.13,22.94,19.36,22.15,,8,6,0,6
21220,9,AllDomains,634017946,Agustin,Long,2009-10-27,9,1,1,1201,2,6,1,2,6,1,1201,7100,1201,1101,634017946,,634017946,R100000222K,,,,,9C,N,2,,N,N,,,,,,21220,Unturpentined Secondary College,620.62,505.00,607.00,595.00,605.78,,,,,,759,721,655,617,662,P,P,P,P,P,A:B:F,,SA:SD:PB,GF,CA:B:C:E,18.11,21.31,19.14,18.62,18.56,9,6,8,8,8
21214,5,AllDomains,680948416,Valentina,Soto,2009-08-06,5,2,4,1201,1,5,3,2,8,1,1201,1201,1201,1101,680948416,,680948416,R100000051A,,,,,5B,N,1,,N,N,,,,,,21214,Iliac Primary College,531.67,575.00,527.00,527.00,545.00,,,,,,557,682,531,533,572,P,P,P,P,P,A:D:E,,SA:SB:PB,GE,A:D:C,22.06,21.98,19.26,21.80,19.92,6,8,6,6,7
21212,3,AllDomains,396107093,June,Woodside,2009-09-10,3,2,2,7100,2,8,4,3,6,3,7100,1201,1201,1101,396107093,,396107093,R100000021D,,,,,3E,N,2,,N,N,,,,,,21212,Anticapital Primary College,430.38,,429.00,,426.54,,,,,,582,,416,587,509,P,,P,E,P,A:B:F,,SA:SB:PB,,A:B:F,18.72,,19.90,,20.68,6,,6,,5
21221,9,AllDomains,900848255,Jeffrey,Odum,2009-04-04,9,1,2,1201,3,6,2,3,8,4,1201,2201,1201,3307,900848255,,900848255,R100000226M,,,,,9A,N,2,,N,N,,,,,,21221,Wishram Combined College,601.88,505.00,,595.00,,,,,,,708,705,680,634,775,P,P,E,P,X,A:D:C,,,GC,,22.64,21.09,,20.28,,8,6,,8,
21217,5,AllDomains,266211914,Herbert,Wood,2009-08-14,5,1,2,1201,3,6,2,2,8,2,1201,1201,9601,2100,266211914,,266211914,R100000128G,,,,,5A,N,2,,N,N,,,,,,21217,Phyllostoma Combined College,,575.00,527.00,0.00,,,,,,,528,541,518,519,606,A,P,P,P,E,,,SA:SB:PB,G,,,18.57,20.84,19.41,,,8,6,0,
21218,9,AllDomains,574013097,Guillermina,Bean,2009-02-15,9,2,3,1201,4,7,3,2,5,4,1201,1201,2201,1101,574013097,,574013097,R100000166G,,,,,9D,N,1,,N,N,,,,,,21218,Redistrainer Secondary College,620.62,505.00,631.00,,610.47,,,,,,644,671,612,651,724,P,P,P,C,P,A:B:C,,SA:SB:PB,,CA:B:C:F,22.50,19.50,21.79,,19.84,9,6,9,,8
21215,3,AllDomains,439970865,Trevor,Duncan,2009-11-08,3,1,3,1201,1,7,4,1,7,3,1201,1201,9601,6101,439970865,,439970865,R100000086G,,,,,3D,N,1,,N,N,,,,,,21215,Isovalerate Combined College,434.23,,435.00,435.00,430.38,,,,,,424,,498,515,410,P,,P,P,P,A:B:F,,SA:SB:PB,GF,CA:D:E,22.54,,20.17,18.81,21.90,6,,6,6,6
21217,5,AllDomains,802538749,Nakia,Cosby,2009-03-13,5,2,1,1201,1,7,3,1,5,4,1201,1201,7100,1101,802538749,,802538749,R100000142K,,,,,5C,N,1,,N,N,,,,,,21217,Phyllostoma Combined College,538.33,575.00,533.00,,515.00,,,,,,528,519,518,519,606,P,P,P,C,P,A:B:E,,SA:SD:PB,,CA:D:E,20.42,22.70,22.38,,20.40,7,8,6,,6
21218,9,AllDomains,133061145,Chrystal,Pierce,2009-09-21,9,2,4,1201,3,8,4,1,6,3,1201,1201,1201,1101,133061145,,133061145,R100000150A,,,,,9A,N,2,,N,N,,,,,,21218,Redistrainer Secondary College,0.0,505.00,607.00,,615.16,,,,,,644,745,612,651,724,R,P,P,A,P,A:B:F,,SA:SB:PD,,NC:B:C:F,0.0,18.18,18.95,,21.15,0,6,8,,8
21217,3,AllDomains,335776714,Byron,Hall,2009-09-20,3,1,4,1201,4,5,4,4,7,3,1201,1201,1201,4111,335776714,,335776714,R100000129H,,,,,3D,N,1,,N,N,,,,,,21217,Phyllostoma Combined College,422.69,,387.00,411.00,426.54,,,,,,431,,425,418,484,P,,P,P,P,A:B:E,,SA:SB:PD,GE,CA:D:F,18.62,,21.54,21.79,20.62,5,,4,5,5
21216,9,AllDomains,888211114,Russell,Riley,2009-09-08,9,1,4,1201,3,6,2,4,5,3,1201,9601,5203,1101,888211114,,888211114,R100000121S,,,,,9B,N,1,,N,N,,,,,,21216,Ophthalmoplegia Combined College,601.88,,,,,,,,,,762,744,706,764,752,P,S,W,C,W,A:D:C,,,,,18.58,,,,,8,,,,
21220,7,AllDomains,211703575,Columbus,May,2009-09-23,7,1,3,1201,1,5,3,2,8,3,1201,1201,1201,1101,211703575,,211703575,R100000206A,,,,,7E,N,1,,N,N,,,,,,21220,Unturpentined Secondary College,,625.00,583.00,0.00,578.12,,,,,,620,722,638,695,713,X,P,P,P,P,,,SA:SD:PB,G,NC:D:E:F,,22.31,21.04,18.56,19.81,,9,7,0,7
21217,7,AllDomains,425987780,Genevie,Carlton,2009-04-15,7,2,1,1201,1,7,3,4,7,1,1201,1201,1201,3307,425987780,,425987780,R100000140S,,,,,7C,N,2,,N,N,,,,,,21217,Phyllostoma Combined College,,625.00,577.00,0.00,0.0,,,,,,711,618,568,574,653,X,P,P,P,R,,,SA:SD:PD,G,NC:B:C:F,,20.45,20.37,18.22,0.0,,9,7,0,0
21219,9,AllDomains,619018444,Leslie,Smith,2009-02-23,9,1,3,1201,4,8,1,2,5,1,1201,2201,1201,6101,619018444,,619018444,R100000193A,,,,,9D,N,2,,N,N,,,,,,21219,Trotcozy Secondary College,601.88,505.00,613.00,0.00,,,,,,,767,727,748,774,608,P,P,P,P,X,A:C:B,,SA:SD:PD,GB,,20.45,19.07,21.14,19.08,,8,6,8,0,
21220,7,AllDomains,627653130,Ernesto,Morgan,2009-08-27,7,1,3,1201,1,8,3,2,5,3,1201,1201,1201,3307,627653130,,627653130,R100000207M,,,,,7E,N,1,,N,N,,,,,,21220,Unturpentined Secondary College,575.00,475.00,577.00,601.00,581.25,,,,,,620,660,638,695,713,P,P,P,P,P,A:B:E,,SA:SD:PB,GE,A:D:C:E,20.49,21.16,18.24,22.96,18.98,7,5,7,8,7
21216,7,AllDomains,450912812,Peter,Fugate,2009-10-27,7,1,1,1201,1,8,1,4,8,1,1201,1201,1201,1101,450912812,,450912812,R100000111P,,,,,7A,N,2,,N,N,,,,,,21216,Ophthalmoplegia Combined College,584.38,625.00,583.00,559.00,587.50,,,,,,654,746,726,644,663,P,P,P,P,P,A:B:E,,SA:SD:PB,GE,NC:D:E:F,20.75,19.80,18.97,22.57,22.32,7,9,7,7,8
21219,7,AllDomains,6933898,Willian,Jaramillo,2009-07-13,7,1,4,1201,2,8,3,4,8,4,1201,1201,1201,1101,6933898,,6933898,R100000198R,,,,,7E,N,2,,N,N,,,,,,21219,Trotcozy Secondary College,,475.00,583.00,0.00,596.88,,,,,,567,599,671,664,595,W,P,P,P,P,,,SA:SB:PD,G,NC:D:C:F,,22.14,20.25,21.48,18.98,,5,7,0,8
21213,5,AllDomains,382707688,Aurora,Fulton,2009-08-04,5,2,2,7100,2,5,1,1,7,4,7100,1201,1201,1101,382707688,,382707688,R100000035D,,,,,5E,N,2,,N,N,,,,,,21213,Hippocentaur Primary College,,,539.00,0.00,535.00,,,,,,645,585,695,586,547,A,E,P,P,P,,,SA:SB:PB,G,CA:B:F,,,19.49,21.32,18.71,,,7,0,6
21212,5,AllDomains,990752961,Judi,Dansby,2009-12-25,5,2,3,1201,2,5,4,1,6,1,1201,1201,7100,1101,990752961,,990752961,R100000018R,,,,,5B,N,2,,N,N,,,,,,21212,Anticapital Primary College,541.67,425.00,533.00,539.00,528.33,,,,,,656,637,528,584,567,P,P,P,P,P,A:D:C,,SA:SD:PD,GC,A:B:C,19.19,20.08,20.55,21.45,18.43,7,4,6,7,6
21216,3,AllDomains,282643161,Audrey,Poch,2009-11-26,3,2,2,1201,2,6,4,3,8,4,1201,5203,1201,1101,282643161,,282643161,R100000106P,,,,,3F,N,1,,N,N,,,,,,21216,Ophthalmoplegia Combined College,0.0,,429.00,411.00,422.69,,,,,,510,,392,414,555,R,,P,P,P,A:B:F,,SA:SD:PB,GF,A:B:E,0.0,,19.81,18.47,20.64,0,,6,5,5
21221,5,AllDomains,451351971,Anita,Ryans,2009-09-21,5,2,2,9601,1,6,4,3,5,3,9601,1201,1201,4111,451351971,,451351971,R100000234P,,,,,5E,N,1,,N,N,,,,,,21221,Wishram Combined College,,425.00,527.00,0.00,535.00,,,,,,543,560,548,579,524,X,P,P,P,P,,,SA:SB:PB,G,CA:B:C,,22.86,19.77,21.60,18.88,,4,6,0,6
21212,5,AllDomains,383655377,Juana,Stout,2009-10-24,5,2,3,1201,1,6,3,1,5,4,1201,1201,1201,1101,383655377,,383655377,R100000011H,,,,,5D,N,1,,N,N,,,,,,21212,Anticapital Primary College,518.33,,,515.00,541.67,,,,,,656,637,528,584,567,P,A,C,P,P,A:D:F,,,GF,CA:D:F,21.01,,,21.43,18.69,6,,,6,7
21216,5,AllDomains,192512270,Christoper,Stokely,2009-06-18,5,1,2,1201,4,8,2,2,8,3,1201,1201,1201,4111,192512270,,192512270,R100000115D,,,,,5B,N,2,,N,N,,,,,,21216,Ophthalmoplegia Combined College,555.00,575.00,533.00,533.00,0.0,,,,,,698,622,696,515,604,P,P,P,P,R,A:B:C,,SA:SD:PB,GC,CA:B:F,18.53,19.80,20.40,21.34,0.0,7,8,6,6,0
21219,7,AllDomains,444721933,Barry,Manders,2009-07-06,7,1,1,1201,1,7,3,4,7,1,1201,1201,1201,1101,444721933,,444721933,R100000185G,,,,,7B,N,2,,N,N,,,,,,21219,Trotcozy Secondary College,565.62,625.00,601.00,0.0,581.25,,,,,,567,599,671,664,595,P,P,P,R,P,A:B:C,,SA:SD:PD,GC,A:B:E:F,20.15,18.21,22.51,0.0,20.17,7,9,8,0,7
21217,7,AllDomains,641342585,Lydia,Thompson,2009-05-10,7,2,1,7100,4,8,1,3,7,1,7100,1201,1201,1101,641342585,,641342585,R100000146M,,,,,7F,N,1,,N,N,,,,,,21217,Phyllostoma Combined College,,475.00,577.00,0.00,568.75,,,,,,711,618,568,574,653,W,P,P,P,P,,,SA:SD:PB,G,A:B:E:F,,21.98,20.10,21.19,23.00,,5,7,0,7
21218,9,AllDomains,943780521,Barry,Lewis,2009-06-23,9,1,3,1201,4,7,1,3,8,2,1201,1201,1201,3307,943780521,,943780521,R100000157E,,,,,9B,N,1,,N,N,,,,,,21218,Redistrainer Secondary College,595.62,655.00,,631.00,583.12,,,,,,644,745,612,651,724,P,P,A,P,P,A:B:E,,,GE,A:D:C:F,20.18,22.26,,18.19,20.70,8,10,,9,8
21219,9,AllDomains,434117401,Rory,Santoyo,2009-03-09,9,1,3,1201,3,8,3,2,5,2,1201,1201,1201,1101,434117401,,434117401,R100000192P,,,,,9F,N,2,,N,N,,,,,,21219,Trotcozy Secondary College,0.0,,613.00,625.00,605.78,,,,,,767,727,748,774,608,R,A,P,P,P,A:D:F,,SA:SD:PB,GF,CA:B:C:F,0.0,,20.11,20.43,19.71,0,,8,9,8
21215,5,AllDomains,822404131,Stevie,Ussery,2009-12-21,5,1,2,1201,2,7,3,1,6,4,1201,1201,1201,1101,822404131,,822404131,R100000080R,,,,,5C,N,1,,N,N,,,,,,21215,Isovalerate Combined College,541.67,575.00,527.00,545.00,528.33,,,,,,574,522,586,650,682,P,P,P,P,P,A:D:C,,SA:SD:PB,GC,NC:D:C,18.96,20.71,21.05,21.54,18.74,7,8,6,7,6
21220,9,AllDomains,327855067,Angela,Diaz,2009-04-15,9,2,1,1201,1,8,3,4,8,3,1201,1201,1201,1101,327855067,,327855067,R100000217K,,,,,9C,N,2,,N,N,,,,,,21220,Unturpentined Secondary College,617.50,655.00,595.00,631.00,601.09,,,,,,759,721,655,617,662,P,P,P,P,P,A:B:E,,SA:SD:PD,GE,NC:B:C:F,20.22,19.71,21.95,20.22,20.59,9,10,8,9,8
21221,5,AllDomains,685311639,Erica,Fulton,2009-06-16,5,2,1,1201,1,6,3,3,7,4,1201,1201,1201,1101,685311639,,685311639,R100000240R,,,,,5F,N,1,,N,N,,,,,,21221,Wishram Combined College,538.33,575.00,527.00,533.00,0.0,,,,,,543,560,548,579,524,P,P,P,P,R,A:D:F,,SA:SD:PD,GF,A:B:E,19.40,20.39,18.74,19.45,0.0,7,8,6,6,0
21215,3,AllDomains,340433409,Jessie,Carlton,2009-06-26,3,1,3,5203,2,8,2,1,7,1,5203,1201,1201,2100,340433409,,340433409,R100000087H,,,,,3B,N,2,,N,N,,,,,,21215,Isovalerate Combined College,415.00,,417.00,399.00,,,,,,,424,,498,515,410,P,,P,P,E,A:D:F,,SA:SD:PD,GF,,20.48,,20.95,18.73,,5,,5,5,
21217,3,AllDomains,402173859,Caitlin,Beam,2009-01-03,3,2,4,1201,2,6,3,1,8,3,1201,1201,1201,1101,402173859,,402173859,R100000125P,,,,,3F,N,2,,N,N,,,,,,21217,Phyllostoma Combined College,,,417.00,0.00,422.69,,,,,,431,,425,418,484,E,,P,P,P,,,SA:SD:PD,G,CA:B:C,,,19.89,18.32,22.88,,,5,0,5
21216,9,AllDomains,10837212,Lynn,Gallagher,2009-11-08,9,1,3,1201,3,8,3,4,6,2,1201,1201,1201,1101,10837212,,10837212,R100000109G,,,,,9E,N,1,,N,N,,,,,,21216,Ophthalmoplegia Combined College,,505.00,601.00,619.00,619.84,,,,,,762,687,706,764,752,S,P,P,P,P,A:D:F,,SA:SD:PD,GF,CA:D:E:F,,22.90,18.73,21.09,22.63,,6,8,9,9
21221,3,AllDomains,430438093,Dorie,Tibbitts,2009-10-06,3,2,1,1201,3,8,2,2,7,2,1201,1201,5203,1101,430438093,,430438093,R100000227G,,,,,3B,N,1,,N,N,,,,,,21221,Wishram Combined College,422.69,,411.00,411.00,411.15,,,,,,493,,586,565,399,P,,P,P,P,A:B:C,,SA:SB:PD,GC,CA:D:E,21.48,,19.48,21.32,18.73,5,,5,5,5
21212,5,AllDomains,61184023,Judith,Spangler,2009-12-03,5,2,4,1201,4,5,4,2,7,1,1201,1201,1201,1101,61184023,,61184023,R100000019K,,,,,5F,N,2,,N,N,,,,,,21212,Anticapital Primary College,531.67,425.00,,539.00,521.67,,,,,,656,643,528,584,567,P,P,S,P,P,A:D:C,,SA:SB:PD,GC,A:D:E,19.02,20.90,,22.89,21.98,6,4,,7,6
21218,9,AllDomains,564353838,Dot,Goering,2009-12-20,9,2,2,1201,4,6,4,3,7,1,1201,1201,1201,1101,564353838,,564353838,R100000171G,,,,,9E,N,1,,N,N,,,,,,21218,Redistrainer Secondary College,605.00,655.00,619.00,601.00,608.12,,,,,,644,745,612,651,724,P,P,P,P,P,A:B:C,,SA:SB:PD,GC,NC:D:C:F,21.02,22.82,18.52,22.58,18.92,8,10,9,8,8
21216,7,AllDomains,477249064,Pablo,Darling,2009-09-01,7,1,4,1201,3,6,4,4,5,1,1201,7100,1201,1101,477249064,,477249064,R100000105H,,,,,7B,N,2,,N,N,,,,,,21216,Ophthalmoplegia Combined College,,,,0.00,578.12,,,,,,654,721,726,644,663,S,E,S,P,P,A:C:B,,SA:SD:PB,GB,CA:B:E:F,,,,20.62,18.47,,,,0,7
21219,9,AllDomains,788534120,Rita,Bingham,2009-07-02,9,2,1,1201,4,5,4,1,5,1,1201,9601,1201,4111,788534120,,788534120,R100000199K,,,,,9B,N,2,,N,N,,,,,,21219,Trotcozy Secondary College,614.38,655.00,607.00,625.00,617.50,,,,,,767,689,748,774,608,P,P,P,P,P,A:B:F,,SA:SB:PB,GF,CA:B:E:F,22.26,21.58,18.25,20.83,22.68,8,10,8,9,9
21213,5,AllDomains,417330656,Jim,Brown,2009-01-14,5,1,4,1201,4,6,3,2,8,1,1201,1201,1201,1101,417330656,,417330656,R100000048G,,,,,5A,N,1,,N,N,,,,,,21213,Hippocentaur Primary College,528.33,,533.00,,531.67,,,,,,645,585,695,586,547,P,S,P,A,P,A:B:C,,SA:SD:PB,,A:B:E,22.77,,22.83,,22.59,6,,6,,6
21221,7,AllDomains,25072537,Vera,Johnson,2009-01-03,7,2,3,1201,3,7,2,4,6,4,1201,1201,1201,1101,25072537,,25072537,R100000232G,,,,,7F,N,2,,N,N,,,,,,21221,Wishram Combined College,578.12,475.00,571.00,577.00,587.50,,,,,,620,728,626,569,679,P,P,P,P,P,A:D:F,,SA:SD:PD,GF,A:D:C:F,18.10,19.85,22.30,20.63,22.71,7,5,7,7,8
21217,3,AllDomains,496457483,Colette,Dodd,2009-08-03,3,2,2,1201,2,6,2,2,8,2,1201,1201,1201,1101,496457483,,496457483,R100000148H,,,,,3B,N,2,,N,N,,,,,,21217,Phyllostoma Combined College,391.92,,411.00,429.00,418.85,,,,,,431,,425,418,484,P,,P,P,P,A:B:E,,SA:SB:PB,GE,CA:B:C,20.99,,19.12,22.61,18.17,5,,5,6,5
21217,3,AllDomains,381224207,Vanessa,Bubb,2009-09-08,3,2,1,2201,3,7,4,3,7,2,2201,1201,1201,1101,381224207,,381224207,R100000147G,,,,,3E,N,2,,N,N,,,,,,21217,Phyllostoma Combined College,403.46,,435.00,423.00,438.08,,,,,,431,,425,418,484,P,,P,P,P,A:B:C,,SA:SB:PD,GC,CA:D:E,18.17,,18.87,21.59,22.13,5,,6,5,6
21220,7,AllDomains,575358325,Ethel,Ellerman,2009-08-10,7,2,4,1201,4,8,4,4,8,3,1201,1201,1201,1101,575358325,,575358325,R100000210P,,,,,7C,N,1,,N,N,,,,,,21220,Unturpentined Secondary College,575.00,625.00,577.00,601.00,,,,,,,620,722,638,695,713,P,P,P,P,X,A:B:E,,SA:SD:PB,GE,,20.67,19.83,19.92,22.94,,7,9,7,8,
21212,3,AllDomains,605628993,Lloyd,Kirkland,2009-01-09,3,1,3,1201,2,5,1,4,7,1,1201,1201,1201,4111,605628993,,605628993,R100000004R,,,,,3B,N,2,,N,N,,,,,,21212,Anticapital Primary College,426.54,,411.00,0.00,418.85,,,,,,582,,416,587,509,P,,P,P,P,A:C:B,,SA:SB:PD,GB,NC:B:F,18.39,,22.76,19.19,18.50,5,,5,0,5
21214,3,AllDomains,209737245,Miriam,Ventimiglia,2009-01-11,3,2,3,1201,2,6,3,3,8,2,1201,1201,5203,1101,209737245,,209737245,R100000069P,,,,,3E,N,2,,N,N,,,,,,21214,Iliac Primary College,441.92,,441.00,417.00,422.69,,,,,,517,,551,433,559,P,,P,P,P,A:D:C,,SA:SD:PB,GC,A:D:F,19.77,,19.31,20.18,19.79,6,,6,5,5
21221,3,AllDomains,947420789,Elvis,Lopez,2009-10-28,3,1,3,1201,4,6,4,2,8,4,1201,1201,1201,1101,947420789,,947420789,R100000238D,,,,,3D,N,2,,N,N,,,,,,21221,Wishram Combined College,,,411.00,417.00,422.69,,,,,,493,,586,565,399,S,,P,P,P,A:B:E,,SA:SD:PD,GE,NC:D:E,,,22.67,18.80,20.12,,,5,5,5
21218,9,AllDomains,696159850,Chrystal,Pearson,2009-06-12,9,2,2,5203,4,8,2,2,5,2,5203,1201,1201,2100,696159850,,696159850,R100000156K,,,,,9A,N,2,,N,N,,,,,,21218,Redistrainer Secondary College,601.88,655.00,589.00,643.00,611.25,,,,,,644,671,612,651,724,P,P,P,P,P,A:B:F,,SA:SD:PD,GF,A:B:C:F,22.67,19.49,22.03,21.24,19.08,8,10,8,9,8
21212,3,AllDomains,842856266,Trenton,Vickery,2009-08-27,3,1,4,1201,3,6,1,2,7,2,1201,1201,1201,1101,842856266,,842856266,R100000024K,,,,,3C,N,2,,N,N,,,,,,21212,Anticapital Primary College,418.85,,423.00,423.00,403.46,,,,,,582,,416,587,509,P,,P,P,P,A:B:C,,SA:SB:PB,GC,CA:B:C,20.65,,21.24,18.51,19.08,5,,5,5,5
21215,3,AllDomains,912369050,Sharonda,Sloan,2009-11-26,3,2,2,1201,3,8,1,3,7,1,1201,1201,1201,1101,912369050,,912369050,R100000089A,,,,,3E,N,1,,N,N,,,,,,21215,Isovalerate Combined College,411.15,,411.00,429.00,418.85,,,,,,424,,498,515,410,P,,P,P,P,A:D:E,,SA:SD:PD,GE,CA:B:C,22.37,,22.22,20.91,22.53,5,,5,6,5
21213,3,AllDomains,366375982,Jesse,Warrick,2009-11-21,3,1,2,1201,3,7,3,4,7,4,1201,2201,5203,1101,366375982,,366375982,R100000038K,,,,,3D,N,1,,N,N,,,,,,21213,Hippocentaur Primary College,422.69,,423.00,435.00,438.08,,,,,,578,,546,505,535,P,,P,P,P,A:D:C,,SA:SD:PD,GC,NC:B:F,20.77,,18.87,21.03,18.77,5,,5,6,6
