School,YrLevel,Domain,ACARA ID,School Name,Family Name,Given Name,Student PSI,Test Level,Test Domain,Parallel Path,Participation,Date,Start Time
21214,5,Spelling,21214,Iliac Primary College,Soto,Valentina,R100000051A,5,Spelling,SA1:SB0:PB0,P,,
21214,5,Writing,21214,Iliac Primary College,Soto,Valentina,R100000051A,5,Writing,,P,,
21214,5,GrammarAndPunctuation,21214,Iliac Primary College,Soto,Valentina,R100000051A,5,Grammar and Punctuation,E1,P,,
21214,5,Reading,21214,Iliac Primary College,Soto,Valentina,R100000051A,5,Reading,A0:D1:E1,P,,
21214,5,Numeracy,21214,Iliac Primary College,Soto,Valentina,R100000051A,5,Numeracy,A3:D1:C0,P,,
21212,3,GrammarAndPunctuation,21212,Anticapital Primary College,Woodside,June,R100000021D,3,Grammar and Punctuation,,E,,
21212,3,Reading,21212,Anticapital Primary College,Woodside,June,R100000021D,3,Reading,A0:B0:F0,P,,
21212,3,Numeracy,21212,Anticapital Primary College,Woodside,June,R100000021D,3,Numeracy,A3:B1:F0,P,,
21212,3,Spelling,21212,Anticapital Primary College,Woodside,June,R100000021D,3,Spelling,SA0:SB1:PB1,P,,
21221,9,Spelling,21221,Wishram Combined College,Odum,Jeffrey,R100000226M,9,Spelling,,E,,
21221,9,Writing,21221,Wishram Combined College,Odum,Jeffrey,R100000226M,9,Writing,,P,,
21221,9,GrammarAndPunctuation,21221,Wishram Combined College,Odum,Jeffrey,R100000226M,9,Grammar and Punctuation,C1,P,,
21221,9,Reading,21221,Wishram Combined College,Odum,Jeffrey,R100000226M,9,Reading,A0:D1:C0,P,,
21221,9,Numeracy,21221,Wishram Combined College,Odum,Jeffrey,R100000226M,9,Numeracy,,X,,
21217,5,Spelling,21217,Phyllostoma Combined College,Wood,Herbert,R100000128G,5,Spelling,SA1:SB1:PB1,P,,
21217,5,Writing,21217,Phyllostoma Combined College,Wood,Herbert,R100000128G,5,Writing,,P,,
21217,5,GrammarAndPunctuation,21217,Phyllostoma Combined College,Wood,Herbert,R100000128G,5,Grammar and Punctuation,G0,P,,
21217,5,Reading,21217,Phyllostoma Combined College,Wood,Herbert,R100000128G,5,Reading,,A,,
21217,5,Numeracy,21217,Phyllostoma Combined College,Wood,Herbert,R100000128G,5,Numeracy,,E,,
21218,9,Spelling,21218,Redistrainer Secondary College,Bean,Guillermina,R100000166G,9,Spelling,SA0:SB0:PB0,P,,
21218,9,Writing,21218,Redistrainer Secondary College,Bean,Guillermina,R100000166G,9,Writing,,P,,
21218,9,GrammarAndPunctuation,21218,Redistrainer Secondary College,Bean,Guillermina,R100000166G,9,Grammar and Punctuation,,C,,
21218,9,Reading,21218,Redistrainer Secondary College,Bean,Guillermina,R100000166G,9,Reading,A1:B1:C0,P,,
21218,9,Numeracy,21218,Redistrainer Secondary College,Bean,Guillermina,R100000166G,9,Numeracy,CA1:B1:C0:F0,P,,
21215,3,GrammarAndPunctuation,21215,Isovalerate Combined College,Duncan,Trevor,R100000086G,3,Grammar and Punctuation,F0,P,,
21215,3,Reading,21215,Isovalerate Combined College,Duncan,Trevor,R100000086G,3,Reading,A3:B1:F0,P,,
21215,3,Numeracy,21215,Isovalerate Combined College,Duncan,Trevor,R100000086G,3,Numeracy,CA0:D0:E0,P,,
21215,3,Spelling,21215,Isovalerate Combined College,Duncan,Trevor,R100000086G,3,Spelling,SA1:SB1:PB0,P,,
21217,5,Spelling,21217,Phyllostoma Combined College,Cosby,Nakia,R100000142K,5,Spelling,SA1:SD0:PB1,P,,
21217,5,Writing,21217,Phyllostoma Combined College,Cosby,Nakia,R100000142K,5,Writing,,P,,
21217,5,GrammarAndPunctuation,21217,Phyllostoma Combined College,Cosby,Nakia,R100000142K,5,Grammar and Punctuation,,C,,
21217,5,Reading,21217,Phyllostoma Combined College,Cosby,Nakia,R100000142K,5,Reading,A0:B0:E1,P,,
21217,5,Numeracy,21217,Phyllostoma Combined College,Cosby,Nakia,R100000142K,5,Numeracy,CA1:D1:E1,P,,
21218,9,Spelling,21218,Redistrainer Secondary College,Pierce,Chrystal,R100000150A,9,Spelling,SA0:SB1:PD1,P,,
21218,9,Writing,21218,Redistrainer Secondary College,Pierce,Chrystal,R100000150A,9,Writing,,P,,
21218,9,GrammarAndPunctuation,21218,Redistrainer Secondary College,Pierce,Chrystal,R100000150A,9,Grammar and Punctuation,,A,,
21218,9,Reading,21218,Redistrainer Secondary College,Pierce,Chrystal,R100000150A,9,Reading,A3:B1:F0,R,,
21218,9,Numeracy,21218,Redistrainer Secondary College,Pierce,Chrystal,R100000150A,9,Numeracy,NC1:B0:C0:F0,P,,
21217,3,GrammarAndPunctuation,21217,Phyllostoma Combined College,Hall,Byron,R100000129H,3,Grammar and Punctuation,E0,P,,
21217,3,Reading,21217,Phyllostoma Combined College,Hall,Byron,R100000129H,3,Reading,A1:B0:E0,P,,
21217,3,Numeracy,21217,Phyllostoma Combined College,Hall,Byron,R100000129H,3,Numeracy,CA1:D0:F0,P,,
21217,3,Spelling,21217,Phyllostoma Combined College,Hall,Byron,R100000129H,3,Spelling,SA0:SB0:PD1,P,,
21216,9,Spelling,21216,Ophthalmoplegia Combined College,Riley,Russell,R100000121S,9,Spelling,,W,,
21216,9,Writing,21216,Ophthalmoplegia Combined College,Riley,Russell,R100000121S,9,Writing,,S,,
21216,9,GrammarAndPunctuation,21216,Ophthalmoplegia Combined College,Riley,Russell,R100000121S,9,Grammar and Punctuation,,C,,
21216,9,Reading,21216,Ophthalmoplegia Combined College,Riley,Russell,R100000121S,9,Reading,A2:D0:C0,P,,
21216,9,Numeracy,21216,Ophthalmoplegia Combined College,Riley,Russell,R100000121S,9,Numeracy,,W,,
21220,7,Numeracy,21220,Unturpentined Secondary College,May,Columbus,R100000206A,7,Numeracy,NC1:D0:E0:F0,P,,
21220,7,Writing,21220,Unturpentined Secondary College,May,Columbus,R100000206A,7,Writing,,P,,
21220,7,Spelling,21220,Unturpentined Secondary College,May,Columbus,R100000206A,7,Spelling,SA1:SD1:PB0,P,,
21220,7,Reading,21220,Unturpentined Secondary College,May,Columbus,R100000206A,7,Reading,,X,,
21220,7,GrammarAndPunctuation,21220,Unturpentined Secondary College,May,Columbus,R100000206A,7,Grammar and Punctuation,G0,P,,
21217,7,Numeracy,21217,Phyllostoma Combined College,Carlton,Genevie,R100000140S,7,Numeracy,NC0:B1:C0:F0,R,,
21217,7,Writing,21217,Phyllostoma Combined College,Carlton,Genevie,R100000140S,7,Writing,,P,,
21217,7,Spelling,21217,Phyllostoma Combined College,Carlton,Genevie,R100000140S,7,Spelling,SA1:SD0:PD0,P,,
21217,7,Reading,21217,Phyllostoma Combined College,Carlton,Genevie,R100000140S,7,Reading,,X,,
21217,7,GrammarAndPunctuation,21217,Phyllostoma Combined College,Carlton,Genevie,R100000140S,7,Grammar and Punctuation,G0,P,,
21219,9,Spelling,21219,Trotcozy Secondary College,Smith,Leslie,R100000193A,9,Spelling,SA0:SD1:PD0,P,,
21219,9,Writing,21219,Trotcozy Secondary College,Smith,Leslie,R100000193A,9,Writing,,P,,
21219,9,GrammarAndPunctuation,21219,Trotcozy Secondary College,Smith,Leslie,R100000193A,9,Grammar and Punctuation,B0,P,,
21219,9,Reading,21219,Trotcozy Secondary College,Smith,Leslie,R100000193A,9,Reading,A2:C0:B0,P,,
21219,9,Numeracy,21219,Trotcozy Secondary College,Smith,Leslie,R100000193A,9,Numeracy,,X,,
21220,7,Numeracy,21220,Unturpentined Secondary College,Morgan,Ernesto,R100000207M,7,Numeracy,A3:D1:C0:E1,P,,
21220,7,Writing,21220,Unturpentined Secondary College,Morgan,Ernesto,R100000207M,7,Writing,,P,,
21220,7,Spelling,21220,Unturpentined Secondary College,Morgan,Ernesto,R100000207M,7,Spelling,SA0:SD1:PB1,P,,
21220,7,Reading,21220,Unturpentined Secondary College,Morgan,Ernesto,R100000207M,7,Reading,A3:B1:E1,P,,
21220,7,GrammarAndPunctuation,21220,Unturpentined Secondary College,Morgan,Ernesto,R100000207M,7,Grammar and Punctuation,E1,P,,
21216,7,Numeracy,21216,Ophthalmoplegia Combined College,Fugate,Peter,R100000111P,7,Numeracy,NC1:D1:E0:F0,P,,
21216,7,Writing,21216,Ophthalmoplegia Combined College,Fugate,Peter,R100000111P,7,Writing,,P,,
21216,7,Spelling,21216,Ophthalmoplegia Combined College,Fugate,Peter,R100000111P,7,Spelling,SA1:SD1:PB0,P,,
21216,7,Reading,21216,Ophthalmoplegia Combined College,Fugate,Peter,R100000111P,7,Reading,A0:B1:E0,P,,
21216,7,GrammarAndPunctuation,21216,Ophthalmoplegia Combined College,Fugate,Peter,R100000111P,7,Grammar and Punctuation,E1,P,,
21219,7,Numeracy,21219,Trotcozy Secondary College,Jaramillo,Willian,R100000198R,7,Numeracy,NC0:D1:C0:F0,P,,
21219,7,Writing,21219,Trotcozy Secondary College,Jaramillo,Willian,R100000198R,7,Writing,,P,,
21219,7,Spelling,21219,Trotcozy Secondary College,Jaramillo,Willian,R100000198R,7,Spelling,SA0:SB1:PD1,P,,
21219,7,Reading,21219,Trotcozy Secondary College,Jaramillo,Willian,R100000198R,7,Reading,,W,,
21219,7,GrammarAndPunctuation,21219,Trotcozy Secondary College,Jaramillo,Willian,R100000198R,7,Grammar and Punctuation,G0,P,,
21213,5,Spelling,21213,Hippocentaur Primary College,Fulton,Aurora,R100000035D,5,Spelling,SA1:SB0:PB1,P,,
21213,5,Writing,21213,Hippocentaur Primary College,Fulton,Aurora,R100000035D,5,Writing,,E,,
21213,5,GrammarAndPunctuation,21213,Hippocentaur Primary College,Fulton,Aurora,R100000035D,5,Grammar and Punctuation,G0,P,,
21213,5,Reading,21213,Hippocentaur Primary College,Fulton,Aurora,R100000035D,5,Reading,,A,,
21213,5,Numeracy,21213,Hippocentaur Primary College,Fulton,Aurora,R100000035D,5,Numeracy,CA1:B0:F0,P,,
21212,5,Spelling,21212,Anticapital Primary College,Dansby,Judi,R100000018R,5,Spelling,SA0:SD1:PD1,P,,
21212,5,Writing,21212,Anticapital Primary College,Dansby,Judi,R100000018R,5,Writing,,P,,
21212,5,GrammarAndPunctuation,21212,Anticapital Primary College,Dansby,Judi,R100000018R,5,Grammar and Punctuation,C0,P,,
21212,5,Reading,21212,Anticapital Primary College,Dansby,Judi,R100000018R,5,Reading,A1:D1:C0,P,,
21212,5,Numeracy,21212,Anticapital Primary College,Dansby,Judi,R100000018R,5,Numeracy,A3:B0:C0,P,,
21216,3,GrammarAndPunctuation,21216,Ophthalmoplegia Combined College,Poch,Audrey,R100000106P,3,Grammar and Punctuation,F1,P,,
21216,3,Reading,21216,Ophthalmoplegia Combined College,Poch,Audrey,R100000106P,3,Reading,A1:B1:F0,R,,
21216,3,Numeracy,21216,Ophthalmoplegia Combined College,Poch,Audrey,R100000106P,3,Numeracy,A3:B0:E0,P,,
21216,3,Spelling,21216,Ophthalmoplegia Combined College,Poch,Audrey,R100000106P,3,Spelling,SA0:SD0:PB1,P,,
21221,5,Spelling,21221,Wishram Combined College,Ryans,Anita,R100000234P,5,Spelling,SA0:SB1:PB0,P,,
21221,5,Writing,21221,Wishram Combined College,Ryans,Anita,R100000234P,5,Writing,,P,,
21221,5,GrammarAndPunctuation,21221,Wishram Combined College,Ryans,Anita,R100000234P,5,Grammar and Punctuation,G0,P,,
21221,5,Reading,21221,Wishram Combined College,Ryans,Anita,R100000234P,5,Reading,,X,,
21221,5,Numeracy,21221,Wishram Combined College,Ryans,Anita,R100000234P,5,Numeracy,CA0:B1:C0,P,,
21212,5,Spelling,21212,Anticapital Primary College,Stout,Juana,R100000011H,5,Spelling,,C,,
21212,5,Writing,21212,Anticapital Primary College,Stout,Juana,R100000011H,5,Writing,,A,,
21212,5,GrammarAndPunctuation,21212,Anticapital Primary College,Stout,Juana,R100000011H,5,Grammar and Punctuation,F0,P,,
21212,5,Reading,21212,Anticapital Primary College,Stout,Juana,R100000011H,5,Reading,A0:D0:F0,P,,
21212,5,Numeracy,21212,Anticapital Primary College,Stout,Juana,R100000011H,5,Numeracy,CA0:D1:F0,P,,
21216,5,Spelling,21216,Ophthalmoplegia Combined College,Stokely,Christoper,R100000115D,5,Spelling,SA0:SD1:PB0,P,,
21216,5,Writing,21216,Ophthalmoplegia Combined College,Stokely,Christoper,R100000115D,5,Writing,,P,,
21216,5,GrammarAndPunctuation,21216,Ophthalmoplegia Combined College,Stokely,Christoper,R100000115D,5,Grammar and Punctuation,C1,P,,
21216,5,Reading,21216,Ophthalmoplegia Combined College,Stokely,Christoper,R100000115D,5,Reading,A3:B0:C0,P,,
21216,5,Numeracy,21216,Ophthalmoplegia Combined College,Stokely,Christoper,R100000115D,5,Numeracy,CA0:B1:F0,R,,
21219,7,Numeracy,21219,Trotcozy Secondary College,Manders,Barry,R100000185G,7,Numeracy,A3:B1:E0:F0,P,,
21219,7,Writing,21219,Trotcozy Secondary College,Manders,Barry,R100000185G,7,Writing,,P,,
21219,7,Spelling,21219,Trotcozy Secondary College,Manders,Barry,R100000185G,7,Spelling,SA0:SD0:PD1,P,,
21219,7,Reading,21219,Trotcozy Secondary College,Manders,Barry,R100000185G,7,Reading,A0:B0:C0,P,,
21219,7,GrammarAndPunctuation,21219,Trotcozy Secondary College,Manders,Barry,R100000185G,7,Grammar and Punctuation,C1,R,,
21217,7,Numeracy,21217,Phyllostoma Combined College,Thompson,Lydia,R100000146M,7,Numeracy,A1:B0:E0:F0,P,,
21217,7,Writing,21217,Phyllostoma Combined College,Thompson,Lydia,R100000146M,7,Writing,,P,,
21217,7,Spelling,21217,Phyllostoma Combined College,Thompson,Lydia,R100000146M,7,Spelling,SA0:SD0:PB1,P,,
21217,7,Reading,21217,Phyllostoma Combined College,Thompson,Lydia,R100000146M,7,Reading,,W,,
21217,7,GrammarAndPunctuation,21217,Phyllostoma Combined College,Thompson,Lydia,R100000146M,7,Grammar and Punctuation,G0,P,,
21218,9,Spelling,21218,Redistrainer Secondary College,Lewis,Barry,R100000157E,9,Spelling,,A,,
21218,9,Writing,21218,Redistrainer Secondary College,Lewis,Barry,R100000157E,9,Writing,,P,,
21218,9,GrammarAndPunctuation,21218,Redistrainer Secondary College,Lewis,Barry,R100000157E,9,Grammar and Punctuation,E0,P,,
21218,9,Reading,21218,Redistrainer Secondary College,Lewis,Barry,R100000157E,9,Reading,A3:B0:E0,P,,
21218,9,Numeracy,21218,Redistrainer Secondary College,Lewis,Barry,R100000157E,9,Numeracy,A2:D0:C0:F0,P,,
21219,9,Spelling,21219,Trotcozy Secondary College,Santoyo,Rory,R100000192P,9,Spelling,SA0:SD0:PB1,P,,
21219,9,Writing,21219,Trotcozy Secondary College,Santoyo,Rory,R100000192P,9,Writing,,A,,
21219,9,GrammarAndPunctuation,21219,Trotcozy Secondary College,Santoyo,Rory,R100000192P,9,Grammar and Punctuation,F1,P,,
21219,9,Reading,21219,Trotcozy Secondary College,Santoyo,Rory,R100000192P,9,Reading,A1:D0:F0,R,,
21219,9,Numeracy,21219,Trotcozy Secondary College,Santoyo,Rory,R100000192P,9,Numeracy,CA1:B1:C0:F0,P,,
21215,5,Spelling,21215,Isovalerate Combined College,Ussery,Stevie,R100000080R,5,Spelling,SA1:SD0:PB0,P,,
21215,5,Writing,21215,Isovalerate Combined College,Ussery,Stevie,R100000080R,5,Writing,,P,,
21215,5,GrammarAndPunctuation,21215,Isovalerate Combined College,Ussery,Stevie,R100000080R,5,Grammar and Punctuation,C0,P,,
21215,5,Reading,21215,Isovalerate Combined College,Ussery,Stevie,R100000080R,5,Reading,A2:D0:C0,P,,
21215,5,Numeracy,21215,Isovalerate Combined College,Ussery,Stevie,R100000080R,5,Numeracy,NC0:D1:C0,P,,
21220,9,Spelling,21220,Unturpentined Secondary College,Diaz,Angela,R100000217K,9,Spelling,SA1:SD1:PD0,P,,
21220,9,Writing,21220,Unturpentined Secondary College,Diaz,Angela,R100000217K,9,Writing,,P,,
21220,9,GrammarAndPunctuation,21220,Unturpentined Secondary College,Diaz,Angela,R100000217K,9,Grammar and Punctuation,E1,P,,
21220,9,Reading,21220,Unturpentined Secondary College,Diaz,Angela,R100000217K,9,Reading,A3:B1:E0,P,,
21220,9,Numeracy,21220,Unturpentined Secondary College,Diaz,Angela,R100000217K,9,Numeracy,NC1:B0:C0:F0,P,,
21221,5,Spelling,21221,Wishram Combined College,Fulton,Erica,R100000240R,5,Spelling,SA1:SD0:PD1,P,,
21221,5,Writing,21221,Wishram Combined College,Fulton,Erica,R100000240R,5,Writing,,P,,
21221,5,GrammarAndPunctuation,21221,Wishram Combined College,Fulton,Erica,R100000240R,5,Grammar and Punctuation,F0,P,,
21221,5,Reading,21221,Wishram Combined College,Fulton,Erica,R100000240R,5,Reading,A1:D0:F0,P,,
21221,5,Numeracy,21221,Wishram Combined College,Fulton,Erica,R100000240R,5,Numeracy,A2:B0:E0,R,,
21215,3,GrammarAndPunctuation,21215,Isovalerate Combined College,Carlton,Jessie,R100000087H,3,Grammar and Punctuation,F0,P,,
21215,3,Reading,21215,Isovalerate Combined College,Carlton,Jessie,R100000087H,3,Reading,A2:D0:F0,P,,
21215,3,Numeracy,21215,Isovalerate Combined College,Carlton,Jessie,R100000087H,3,Numeracy,,E,,
21215,3,Spelling,21215,Isovalerate Combined College,Carlton,Jessie,R100000087H,3,Spelling,SA1:SD0:PD0,P,,
21217,3,GrammarAndPunctuation,21217,Phyllostoma Combined College,Beam,Caitlin,R100000125P,3,Grammar and Punctuation,G0,P,,
21217,3,Reading,21217,Phyllostoma Combined College,Beam,Caitlin,R100000125P,3,Reading,,E,,
21217,3,Numeracy,21217,Phyllostoma Combined College,Beam,Caitlin,R100000125P,3,Numeracy,CA1:B1:C0,P,,
21217,3,Spelling,21217,Phyllostoma Combined College,Beam,Caitlin,R100000125P,3,Spelling,SA1:SD0:PD1,P,,
21216,9,Spelling,21216,Ophthalmoplegia Combined College,Gallagher,Lynn,R100000109G,9,Spelling,SA1:SD0:PD1,P,,
21216,9,Writing,21216,Ophthalmoplegia Combined College,Gallagher,Lynn,R100000109G,9,Writing,,P,,
21216,9,GrammarAndPunctuation,21216,Ophthalmoplegia Combined College,Gallagher,Lynn,R100000109G,9,Grammar and Punctuation,F1,P,,
21216,9,Reading,21216,Ophthalmoplegia Combined College,Gallagher,Lynn,R100000109G,9,Reading,A0:D0:F0,S,,
21216,9,Numeracy,21216,Ophthalmoplegia Combined College,Gallagher,Lynn,R100000109G,9,Numeracy,CA1:D0:E0:F0,P,,
21221,3,GrammarAndPunctuation,21221,Wishram Combined College,Tibbitts,Dorie,R100000227G,3,Grammar and Punctuation,C1,P,,
21221,3,Reading,21221,Wishram Combined College,Tibbitts,Dorie,R100000227G,3,Reading,A1:B0:C0,P,,
21221,3,Numeracy,21221,Wishram Combined College,Tibbitts,Dorie,R100000227G,3,Numeracy,CA0:D0:E1,P,,
21221,3,Spelling,21221,Wishram Combined College,Tibbitts,Dorie,R100000227G,3,Spelling,SA0:SB0:PD0,P,,
21212,5,Spelling,21212,Anticapital Primary College,Spangler,Judith,R100000019K,5,Spelling,SA0:SB1:PD1,S,,
21212,5,Writing,21212,Anticapital Primary College,Spangler,Judith,R100000019K,5,Writing,,P,,
21212,5,GrammarAndPunctuation,21212,Anticapital Primary College,Spangler,Judith,R100000019K,5,Grammar and Punctuation,C1,P,,
21212,5,Reading,21212,Anticapital Primary College,Spangler,Judith,R100000019K,5,Reading,A1:D0:C0,P,,
21212,5,Numeracy,21212,Anticapital Primary College,Spangler,Judith,R100000019K,5,Numeracy,A2:D1:E0,P,,
21218,9,Spelling,21218,Redistrainer Secondary College,Goering,Dot,R100000171G,9,Spelling,SA1:SB1:PD1,P,,
21218,9,Writing,21218,Redistrainer Secondary College,Goering,Dot,R100000171G,9,Writing,,P,,
21218,9,GrammarAndPunctuation,21218,Redistrainer Secondary College,Goering,Dot,R100000171G,9,Grammar and Punctuation,C1,P,,
21218,9,Reading,21218,Redistrainer Secondary College,Goering,Dot,R100000171G,9,Reading,A2:B1:C0,P,,
21218,9,Numeracy,21218,Redistrainer Secondary College,Goering,Dot,R100000171G,9,Numeracy,NC1:D0:C0:F0,P,,
