School,YrLevel,Domain,ACARA ID,School Name,Family Name,Given Name,Student PSI,SRN,Year Level,Test Level,Test Domain,Domain Band,Raw Score,Scaled Score,Parallel Path,Participation
21218,9,Numeracy,21218,Redistrainer Secondary College,Bean,Guillermina,R100000166G,574013097,9,9,Numeracy,8,45.00,610.47,CA1:B1:C0:F0,P
21215,3,GrammarAndPunctuation,21215,Isovalerate Combined College,Duncan,Trevor,R100000086G,439970865,3,3,Grammar and Punctuation,6,20.00,435.00,F0,P
21215,3,Reading,21215,Isovalerate Combined College,Duncan,Trevor,R100000086G,439970865,3,3,Reading,6,31.00,434.23,A3:B1:F0,P
21215,3,Numeracy,21215,Isovalerate Combined College,Duncan,Trevor,R100000086G,439970865,3,3,Numeracy,6,30.00,430.38,CA0:D0:E0,P
21215,3,Spelling,21215,Isovalerate Combined College,Duncan,Trevor,R100000086G,439970865,3,3,Spelling,6,20.00,435.00,SA1:SB1:PB0,P
21217,5,Spelling,21217,Phyllostoma Combined College,Cosby,Nakia,R100000142K,802538749,5,5,Spelling,6,18.00,533.00,SA1:SD0:PB1,P
21217,5,Writing,21217,Phyllostoma Combined College,Cosby,Nakia,R100000142K,802538749,5,5,Writing,8,1.00,575.00,,P
21217,5,GrammarAndPunctuation,21217,Phyllostoma Combined College,Cosby,Nakia,R100000142K,802538749,5,5,Grammar and Punctuation,,,,,C
21217,5,Reading,21217,Phyllostoma Combined College,Cosby,Nakia,R100000142K,802538749,5,5,Reading,7,34.00,538.33,A0:B0:E1,P
21217,5,Numeracy,21217,Phyllostoma Combined College,Cosby,Nakia,R100000142K,802538749,5,5,Numeracy,6,27.00,515.00,CA1:D1:E1,P
21218,9,Spelling,21218,Redistrainer Secondary College,Pierce,Chrystal,R100000150A,133061145,9,9,Spelling,8,17.00,607.00,SA0:SB1:PD1,P
21218,9,Writing,21218,Redistrainer Secondary College,Pierce,Chrystal,R100000150A,133061145,9,9,Writing,6,0.00,505.00,,P
21218,9,GrammarAndPunctuation,21218,Redistrainer Secondary College,Pierce,Chrystal,R100000150A,133061145,9,9,Grammar and Punctuation,,,,,A
21218,9,Reading,21218,Redistrainer Secondary College,Pierce,Chrystal,R100000150A,133061145,9,9,Reading,0,0.0,0.0,A3:B1:F0,R
21218,9,Numeracy,21218,Redistrainer Secondary College,Pierce,Chrystal,R100000150A,133061145,9,9,Numeracy,8,47.00,615.16,NC1:B0:C0:F0,P
21217,3,GrammarAndPunctuation,21217,Phyllostoma Combined College,Hall,Byron,R100000129H,335776714,3,3,Grammar and Punctuation,5,16.00,411.00,E0,P
21217,3,Reading,21217,Phyllostoma Combined College,Hall,Byron,R100000129H,335776714,3,3,Reading,5,28.00,422.69,A1:B0:E0,P
21217,3,Numeracy,21217,Phyllostoma Combined College,Hall,Byron,R100000129H,335776714,3,3,Numeracy,5,29.00,426.54,CA1:D0:F0,P
21217,3,Spelling,21217,Phyllostoma Combined College,Hall,Byron,R100000129H,335776714,3,3,Spelling,4,12.00,387.00,SA0:SB0:PD1,P
21216,9,Spelling,21216,Ophthalmoplegia Combined College,Riley,Russell,R100000121S,888211114,9,9,Spelling,,,,,W
21216,9,Writing,21216,Ophthalmoplegia Combined College,Riley,Russell,R100000121S,888211114,9,9,Writing,,,,,S
21216,9,GrammarAndPunctuation,21216,Ophthalmoplegia Combined College,Riley,Russell,R100000121S,888211114,9,9,Grammar and Punctuation,,,,,C
21216,9,Reading,21216,Ophthalmoplegia Combined College,Riley,Russell,R100000121S,888211114,9,9,Reading,8,31.00,601.88,A2:D0:C0,P
21216,9,Numeracy,21216,Ophthalmoplegia Combined College,Riley,Russell,R100000121S,888211114,9,9,Numeracy,,,,,W
21220,7,Numeracy,21220,Unturpentined Secondary College,May,Columbus,R100000206A,211703575,7,7,Numeracy,7,44.00,578.12,NC1:D0:E0:F0,P
21220,7,Writing,21220,Unturpentined Secondary College,May,Columbus,R100000206A,211703575,7,7,Writing,9,1.00,625.00,,P
21220,7,Spelling,21220,Unturpentined Secondary College,May,Columbus,R100000206A,211703575,7,7,Spelling,7,18.00,583.00,SA1:SD1:PB0,P
21220,7,Reading,21220,Unturpentined Secondary College,May,Columbus,R100000206A,211703575,7,7,Reading,,,,,X
21220,7,GrammarAndPunctuation,21220,Unturpentined Secondary College,May,Columbus,R100000206A,211703575,7,7,Grammar and Punctuation,0,0.00,0.00,G0,P
21217,7,Numeracy,21217,Phyllostoma Combined College,Carlton,Genevie,R100000140S,425987780,7,7,Numeracy,0,0.0,0.0,NC0:B1:C0:F0,R
21217,7,Writing,21217,Phyllostoma Combined College,Carlton,Genevie,R100000140S,425987780,7,7,Writing,9,1.00,625.00,,P
21217,7,Spelling,21217,Phyllostoma Combined College,Carlton,Genevie,R100000140S,425987780,7,7,Spelling,7,17.00,577.00,SA1:SD0:PD0,P
21217,7,Reading,21217,Phyllostoma Combined College,Carlton,Genevie,R100000140S,425987780,7,7,Reading,,,,,X
21217,7,GrammarAndPunctuation,21217,Phyllostoma Combined College,Carlton,Genevie,R100000140S,425987780,7,7,Grammar and Punctuation,0,0.00,0.00,G0,P
21219,9,Spelling,21219,Trotcozy Secondary College,Smith,Leslie,R100000193A,619018444,9,9,Spelling,8,18.00,613.00,SA0:SD1:PD0,P
21219,9,Writing,21219,Trotcozy Secondary College,Smith,Leslie,R100000193A,619018444,9,9,Writing,6,0.00,505.00,,P
21219,9,GrammarAndPunctuation,21219,Trotcozy Secondary College,Smith,Leslie,R100000193A,619018444,9,9,Grammar and Punctuation,0,0.00,0.00,B0,P
21219,9,Reading,21219,Trotcozy Secondary College,Smith,Leslie,R100000193A,619018444,9,9,Reading,8,31.00,601.88,A2:C0:B0,P
21219,9,Numeracy,21219,Trotcozy Secondary College,Smith,Leslie,R100000193A,619018444,9,9,Numeracy,,,,,X
21220,7,Numeracy,21220,Unturpentined Secondary College,Morgan,Ernesto,R100000207M,627653130,7,7,Numeracy,7,34.00,581.25,A3:D1:C0:E1,P
21220,7,Writing,21220,Unturpentined Secondary College,Morgan,Ernesto,R100000207M,627653130,7,7,Writing,5,0.00,475.00,,P
21220,7,Spelling,21220,Unturpentined Secondary College,Morgan,Ernesto,R100000207M,627653130,7,7,Spelling,7,17.00,577.00,SA0:SD1:PB1,P
21220,7,Reading,21220,Unturpentined Secondary College,Morgan,Ernesto,R100000207M,627653130,7,7,Reading,7,32.00,575.00,A3:B1:E1,P
21220,7,GrammarAndPunctuation,21220,Unturpentined Secondary College,Morgan,Ernesto,R100000207M,627653130,7,7,Grammar and Punctuation,8,21.00,601.00,E1,P
21216,7,Numeracy,21216,Ophthalmoplegia Combined College,Fugate,Peter,R100000111P,450912812,7,7,Numeracy,8,48.00,587.50,NC1:D1:E0:F0,P
21216,7,Writing,21216,Ophthalmoplegia Combined College,Fugate,Peter,R100000111P,450912812,7,7,Writing,9,1.00,625.00,,P
21216,7,Spelling,21216,Ophthalmoplegia Combined College,Fugate,Peter,R100000111P,450912812,7,7,Spelling,7,18.00,583.00,SA1:SD1:PB0,P
21216,7,Reading,21216,Ophthalmoplegia Combined College,Fugate,Peter,R100000111P,450912812,7,7,Reading,7,35.00,584.38,A0:B1:E0,P
21216,7,GrammarAndPunctuation,21216,Ophthalmoplegia Combined College,Fugate,Peter,R100000111P,450912812,7,7,Grammar and Punctuation,7,14.00,559.00,E1,P
21219,7,Numeracy,21219,Trotcozy Secondary College,Jaramillo,Willian,R100000198R,6933898,7,7,Numeracy,8,52.00,596.88,NC0:D1:C0:F0,P
21219,7,Writing,21219,Trotcozy Secondary College,Jaramillo,Willian,R100000198R,6933898,7,7,Writing,5,0.00,475.00,,P
21219,7,Spelling,21219,Trotcozy Secondary College,Jaramillo,Willian,R100000198R,6933898,7,7,Spelling,7,18.00,583.00,SA0:SB1:PD1,P
21219,7,Reading,21219,Trotcozy Secondary College,Jaramillo,Willian,R100000198R,6933898,7,7,Reading,,,,,W
21219,7,GrammarAndPunctuation,21219,Trotcozy Secondary College,Jaramillo,Willian,R100000198R,6933898,7,7,Grammar and Punctuation,0,0.00,0.00,G0,P
21213,5,Spelling,21213,Hippocentaur Primary College,Fulton,Aurora,R100000035D,382707688,5,5,Spelling,7,19.00,539.00,SA1:SB0:PB1,P
21213,5,Writing,21213,Hippocentaur Primary College,Fulton,Aurora,R100000035D,382707688,5,5,Writing,,,,,E
21213,5,GrammarAndPunctuation,21213,Hippocentaur Primary College,Fulton,Aurora,R100000035D,382707688,5,5,Grammar and Punctuation,0,0.00,0.00,G0,P
21213,5,Reading,21213,Hippocentaur Primary College,Fulton,Aurora,R100000035D,382707688,5,5,Reading,,,,,A
21213,5,Numeracy,21213,Hippocentaur Primary College,Fulton,Aurora,R100000035D,382707688,5,5,Numeracy,6,33.00,535.00,CA1:B0:F0,P
21212,5,Spelling,21212,Anticapital Primary College,Dansby,Judi,R100000018R,990752961,5,5,Spelling,6,18.00,533.00,SA0:SD1:PD1,P
21212,5,Writing,21212,Anticapital Primary College,Dansby,Judi,R100000018R,990752961,5,5,Writing,4,0.00,425.00,,P
21212,5,GrammarAndPunctuation,21212,Anticapital Primary College,Dansby,Judi,R100000018R,990752961,5,5,Grammar and Punctuation,7,19.00,539.00,C0,P
21212,5,Reading,21212,Anticapital Primary College,Dansby,Judi,R100000018R,990752961,5,5,Reading,7,35.00,541.67,A1:D1:C0,P
21212,5,Numeracy,21212,Anticapital Primary College,Dansby,Judi,R100000018R,990752961,5,5,Numeracy,6,31.00,528.33,A3:B0:C0,P
21216,3,GrammarAndPunctuation,21216,Ophthalmoplegia Combined College,Poch,Audrey,R100000106P,282643161,3,3,Grammar and Punctuation,5,16.00,411.00,F1,P
21216,3,Reading,21216,Ophthalmoplegia Combined College,Poch,Audrey,R100000106P,282643161,3,3,Reading,0,0.0,0.0,A1:B1:F0,R
21216,3,Numeracy,21216,Ophthalmoplegia Combined College,Poch,Audrey,R100000106P,282643161,3,3,Numeracy,5,28.00,422.69,A3:B0:E0,P
21216,3,Spelling,21216,Ophthalmoplegia Combined College,Poch,Audrey,R100000106P,282643161,3,3,Spelling,6,19.00,429.00,SA0:SD0:PB1,P
21221,5,Spelling,21221,Wishram Combined College,Ryans,Anita,R100000234P,451351971,5,5,Spelling,6,17.00,527.00,SA0:SB1:PB0,P
21221,5,Writing,21221,Wishram Combined College,Ryans,Anita,R100000234P,451351971,5,5,Writing,4,0.00,425.00,,P
21221,5,GrammarAndPunctuation,21221,Wishram Combined College,Ryans,Anita,R100000234P,451351971,5,5,Grammar and Punctuation,0,0.00,0.00,G0,P
21221,5,Reading,21221,Wishram Combined College,Ryans,Anita,R100000234P,451351971,5,5,Reading,,,,,X
21221,5,Numeracy,21221,Wishram Combined College,Ryans,Anita,R100000234P,451351971,5,5,Numeracy,6,33.00,535.00,CA0:B1:C0,P
21212,5,Spelling,21212,Anticapital Primary College,Stout,Juana,R100000011H,383655377,5,5,Spelling,,,,,C
21212,5,Writing,21212,Anticapital Primary College,Stout,Juana,R100000011H,383655377,5,5,Writing,,,,,A
21212,5,GrammarAndPunctuation,21212,Anticapital Primary College,Stout,Juana,R100000011H,383655377,5,5,Grammar and Punctuation,6,15.00,515.00,F0,P
21212,5,Reading,21212,Anticapital Primary College,Stout,Juana,R100000011H,383655377,5,5,Reading,6,28.00,518.33,A0:D0:F0,P
21212,5,Numeracy,21212,Anticapital Primary College,Stout,Juana,R100000011H,383655377,5,5,Numeracy,7,35.00,541.67,CA0:D1:F0,P
21216,5,Spelling,21216,Ophthalmoplegia Combined College,Stokely,Christoper,R100000115D,192512270,5,5,Spelling,6,18.00,533.00,SA0:SD1:PB0,P
21216,5,Writing,21216,Ophthalmoplegia Combined College,Stokely,Christoper,R100000115D,192512270,5,5,Writing,8,1.00,575.00,,P
21216,5,GrammarAndPunctuation,21216,Ophthalmoplegia Combined College,Stokely,Christoper,R100000115D,192512270,5,5,Grammar and Punctuation,6,18.00,533.00,C1,P
21216,5,Reading,21216,Ophthalmoplegia Combined College,Stokely,Christoper,R100000115D,192512270,5,5,Reading,7,39.00,555.00,A3:B0:C0,P
21216,5,Numeracy,21216,Ophthalmoplegia Combined College,Stokely,Christoper,R100000115D,192512270,5,5,Numeracy,0,0.0,0.0,CA0:B1:F0,R
21219,7,Numeracy,21219,Trotcozy Secondary College,Manders,Barry,R100000185G,444721933,7,7,Numeracy,7,34.00,581.25,A3:B1:E0:F0,P
21219,7,Writing,21219,Trotcozy Secondary College,Manders,Barry,R100000185G,444721933,7,7,Writing,9,1.00,625.00,,P
21219,7,Spelling,21219,Trotcozy Secondary College,Manders,Barry,R100000185G,444721933,7,7,Spelling,8,21.00,601.00,SA0:SD0:PD1,P
21219,7,Reading,21219,Trotcozy Secondary College,Manders,Barry,R100000185G,444721933,7,7,Reading,7,29.00,565.62,A0:B0:C0,P
21219,7,GrammarAndPunctuation,21219,Trotcozy Secondary College,Manders,Barry,R100000185G,444721933,7,7,Grammar and Punctuation,0,0.0,0.0,C1,R
21217,7,Numeracy,21217,Phyllostoma Combined College,Thompson,Lydia,R100000146M,641342585,7,7,Numeracy,7,30.00,568.75,A1:B0:E0:F0,P
21217,7,Writing,21217,Phyllostoma Combined College,Thompson,Lydia,R100000146M,641342585,7,7,Writing,5,0.00,475.00,,P
21217,7,Spelling,21217,Phyllostoma Combined College,Thompson,Lydia,R100000146M,641342585,7,7,Spelling,7,17.00,577.00,SA0:SD0:PB1,P
21217,7,Reading,21217,Phyllostoma Combined College,Thompson,Lydia,R100000146M,641342585,7,7,Reading,,,,,W
21217,7,GrammarAndPunctuation,21217,Phyllostoma Combined College,Thompson,Lydia,R100000146M,641342585,7,7,Grammar and Punctuation,0,0.00,0.00,G0,P
21218,9,Spelling,21218,Redistrainer Secondary College,Lewis,Barry,R100000157E,943780521,9,9,Spelling,,,,,A
21218,9,Writing,21218,Redistrainer Secondary College,Lewis,Barry,R100000157E,943780521,9,9,Writing,10,1.00,655.00,,P
21218,9,GrammarAndPunctuation,21218,Redistrainer Secondary College,Lewis,Barry,R100000157E,943780521,9,9,Grammar and Punctuation,9,21.00,631.00,E0,P
21218,9,Reading,21218,Redistrainer Secondary College,Lewis,Barry,R100000157E,943780521,9,9,Reading,8,29.00,595.62,A3:B0:E0,P
21218,9,Numeracy,21218,Redistrainer Secondary College,Lewis,Barry,R100000157E,943780521,9,9,Numeracy,8,25.00,583.12,A2:D0:C0:F0,P
21219,9,Spelling,21219,Trotcozy Secondary College,Santoyo,Rory,R100000192P,434117401,9,9,Spelling,8,18.00,613.00,SA0:SD0:PB1,P
21219,9,Writing,21219,Trotcozy Secondary College,Santoyo,Rory,R100000192P,434117401,9,9,Writing,,,,,A
21219,9,GrammarAndPunctuation,21219,Trotcozy Secondary College,Santoyo,Rory,R100000192P,434117401,9,9,Grammar and Punctuation,9,20.00,625.00,F1,P
21219,9,Reading,21219,Trotcozy Secondary College,Santoyo,Rory,R100000192P,434117401,9,9,Reading,0,0.0,0.0,A1:D0:F0,R
21219,9,Numeracy,21219,Trotcozy Secondary College,Santoyo,Rory,R100000192P,434117401,9,9,Numeracy,8,43.00,605.78,CA1:B1:C0:F0,P
21215,5,Spelling,21215,Isovalerate Combined College,Ussery,Stevie,R100000080R,822404131,5,5,Spelling,6,17.00,527.00,SA1:SD0:PB0,P
